,label_id,category,count
433,949,Integrated ticket reservation,15501
353,812,Parkour avoid class,15488
243,317,College Students,15218
93,99,US and Europe animation,15014
204,247,Utilities,14965
97,103,US and Europe magic comic,14625
174,213,coupon,14201
446,969,casual games,14186
398,872,Customization,14167
63,69,business,14131
159,195,coach transport,14040
389,863,Smart Shopping,13863
235,281,A beauty care,13807
227,272,Parenting,13747
222,267,Buy,13215
224,269,Rentals,12904
434,950,Book hotel complex,12752
358,817,Comics Reading Tools,12574
13,17,game-Racing,12488
39,45,table game,12139
436,952,Coach reservations,12091
110,139,management,11729
32,38,game-flight,11517
165,203,lose weight,11493
6,9,game-pet,11248
350,809,Business simulation,11030
71,77,3 kindom game,10594
338,796,Cards RPG,9899
27,32,game-card,9872
95,101,pixel style comic,9650
215,259,Precious Metals,9392
158,194,Share Travels,9374
160,197,Decoration,9367
345,804,Flight Shooting,8904
442,958,Non-standard accommodation,8776
99,105,chinese comic,8692
368,827,User Community,8646
40,46,Texas Poker,8451
20,24,game-Lianliankan,8401
51,57,old style game,8399
394,868,vitality,8058
382,856,Total Cost,7953
164,201,Smart Home,7898
206,250,WIFI,7365
479,1009,Crowdfunding,7201
11,14,game-Adventure puzzle,7110
346,805,Shootout Shooting (STG),6867
453,976,Simulators,6775
339,797,MMO,6756
340,798,round,6575
344,803,Racing (RAC),6369
173,212,Astrology Horoscope,6314
334,792,exchange rate,6234
386,860,quality,6160
111,140,art and culture,6061
267,692,Insurance,5984
341,800,ARPG,5895
452,975,strategy game,5776
427,943,Destination Region,5661
60,66,ARPG,5660
70,76,gambling,5609
59,65,realtime fighting,5597
84,90,zombies game,5572
92,98,japanese comic and animation,5497
213,257,futures,5452
455,978,Chess game,5450
55,61,billards,5393
360,819,Read the operator's,5218
83,89,science fiction,5196
149,185,Behalf of the drive,5163
178,217,Weather,4991
422,938,Tour around,4945
121,153,poetry,4841
429,945,Japan and South Korea (Travel),4779
28,33,game-Business simulation,4692
420,936,Domestic travel,4605
395,869,classical,4584
451,974,action games,4564
58,64,Turn based RPG game,4533
405,918,Low Cost Airlines,4429
237,283,Beauty Nail,4425
445,968,Card Game,4286
34,40,game-Snipe,4228
3,6,game-Cutting things,3736
64,70,farm,3649
74,80,Journey to the West game,3594
62,68,war chess,3355
263,688,Ping,3347
80,86,movie,3343
163,200,household products,3239
365,824,Hardware Related,3204
491,1021,Internet Insurance,3188
384,858,natural,3167
426,942,Share Tour,2888
425,941,Travel preferences,2888
205,249,Editor,2885
72,78,knight game,2863
46,52,math,2679
29,35,game-Horizontal version,2580
177,216,Business Office,2567
467,995,tribe,2541
198,238,Engineering Drawing,2497
87,93,dotal-lol,2477
22,26,game-Bobble,2359
187,226,Housekeeping,2351
78,84,80s Japanese comic,2236
223,268,Sellers,2215
200,241,App Store,2203
468,996,Ninja,2143
288,722,Classical 1,2134
295,736,Other shares,2115
66,72,pet raising up,2096
107,136,study abroad,2039
309,760,Crowdfunding,1999
56,62,other ball game,1867
104,132,shopping sharing,1849
264,689,safety Insurance,1800
342,801,MOBA,1777
33,39,game-tank,1736
85,91,World of Warcraft,1640
53,59,football,1552
265,690,Peace - Search,1547
258,563,vitality,1460
52,58,basketball,1442
349,808,Tower Defense,1434
4,7,game-Finding fault,1422
371,839,Doctors,1409
73,79,Cultivation fantasy game,1337
230,275,KTV,1282
448,971,cosplay,1266
19,23,game-gem,1203
459,983,Racing games,1193
14,18,game-Motorcycle,1154
225,270,Mother,1153
90,96,Chinese painting,1122
43,49,Puzzle,1069
238,284,Make-up application,1054
236,282,Skin care applications,1053
315,772,Financial Futures,961
381,855,noble,950
458,982,Music Games,847
229,274,entertainment,816
348,807,Sports,788
79,85,90s Japanese comic,736
430,946,"Europe, the United States and Macao (Travel)",674
392,866,Simple,654
77,83,Western Mythology,641
171,210,Man playing favorites,640
44,50,Literacy Games,635
231,276,show,625
461,986,Xian Xia,580
67,73,love raising up,558
15,19,game-Rowing,528
369,828,Vermicelli,509
440,956,High-end hotel,509
294,734,H shares,509
128,160,Academic Information,493
141,175,phone,485
31,37,game-3D,459
96,102,violence comic,445
179,218,Clock,414
125,157,Information,379
449,972,Sports Games,331
447,970,Puzzles,313
21,25,game-Zuma,293
81,87,shows,266
460,984,Games,233
415,931,"Hong Kong, Macao and Taiwan (aviation)",229
413,928,Southeast Asia (aviation),227
311,762,Trust,199
357,816,Class animation community,196
454,977,Adventure Game,195
406,919,Regional Aviation,192
140,174,email,186
463,988,navigation,168
202,245,Desktop Enhancements,167
54,60,tennis,158
428,944,Southeast Asia (Travel),152
76,82,Chinese Classical Mythology,151
464,990,reality show,131
88,94,sailing game,128
69,75,puzzel,123
253,553,Simple,121
335,793,Antique collection,107
450,973,Table Games,102
16,20,game-aircraft,101
456,980,Educational games,83
471,999,Martial arts,76
68,74,unknown,72
57,63,RPG game,69
61,67,business strategy game,60
35,41,poker and chess,58
431,947,"Hong Kong, Macao and Taiwan (Travel)",56
414,930,"Europe, the United States and Macao (aviation)",56
465,991,Jin Yong,55
50,56,fighting game,41
466,993,Senki,40
462,987,effort,38
139,173,mesasge,27
410,925,airport,27
469,997,Romance,27
49,55,Beach landing game,26
75,81,Outlaws of the Marsh game,22
470,998,Shushan,16
42,48,Children puzzle game,16
65,71,raising up game,16
123,155,psychology,15
201,242,search,13
162,199,Furniture,13
473,1002,Harem,10
17,21,game-Gem Elimination,6
312,763,Trust funds,6
457,981,Family Games,6
472,1000,Domestic animation,6
1,4,game-Art Style,6
409,924,Airline Alliances,6
0,2,game-game type,6
220,265,Estate,5
47,53,Guard tower defense game,3
2,5,game-Leisure time,3
